cluster,province,district,constituency,ward,residence,ea,is_active
403,Southern,Kazungula,Katombola,Kanchele,Rural,09071031025,TRUE
404,Southern,Kazungula,Katombola,Kanchele,Rural,09071031029,TRUE
405,Southern,Kazungula,Katombola,Kanchele,Rural,09071031032,TRUE
406,Southern,Kazungula,Katombola,Kanchele,Rural,09071031036,TRUE
407,Southern,Kazungula,Katombola,Katapazi,Rural,09071041002,TRUE
408,Southern,Kazungula,Katombola,Katapazi,Rural,09071041003,TRUE
409,Southern,Kazungula,Katombola,Katapazi,Rural,09071041004,TRUE
410,Southern,Kazungula,Katombola,Katapazi,Rural,09071041006,TRUE
411,Southern,Kazungula,Katombola,Katapazi,Rural,09071041007,TRUE
412,Southern,Kazungula,Katombola,Katapazi,Rural,09071041008,TRUE
413,Southern,Kazungula,Katombola,Katapazi,Rural,09071041009,TRUE
414,Southern,Kazungula,Katombola,Katapazi,Rural,09071041011,TRUE
415,Southern,Kazungula,Katombola,Katapazi,Rural,09071041012,TRUE
416,Southern,Kazungula,Katombola,Katapazi,Rural,09071041013,TRUE
417,Southern,Kazungula,Katombola,Kazungula central,Rural,09071061003,TRUE
418,Southern,Kazungula,Katombola,Kazungula central,Rural,09071061006,TRUE
419,Southern,Kazungula,Katombola,Kazungula central,Rural,09071061010,TRUE
420,Southern,Kazungula,Katombola,Kazungula central,Rural,09071061014,TRUE
421,Southern,Kazungula,Katombola,Kazungula central,Rural,09071061017,TRUE
422,Southern,Kazungula,Katombola,Kazungula central,Rural,09071061021,TRUE
423,Southern,Kazungula,Katombola,Kazungula central,Rural,09071061025,TRUE
424,Southern,Kazungula,Katombola,Kazungula central,Rural,09071061028,TRUE
425,Southern,Kazungula,Katombola,Kazungula central,Rural,09071061032,TRUE
426,Southern,Kazungula,Katombola,Kazungula central,Rural,09071061036,TRUE
427,Southern,Kazungula,Katombola,Mandia,Rural,09071071001,TRUE
428,Southern,Kazungula,Katombola,Mandia,Rural,09071071002,TRUE
429,Southern,Kazungula,Katombola,Mandia,Rural,09071071004,TRUE
430,Southern,Kazungula,Katombola,Mandia,Rural,09071071005,TRUE
431,Southern,Kazungula,Katombola,Mandia,Rural,09071071006,TRUE
432,Southern,Kazungula,Katombola,Mandia,Rural,09071071007,TRUE
433,Southern,Kazungula,Katombola,Mandia,Rural,09071071008,TRUE
434,Southern,Kazungula,Katombola,Mandia,Rural,09071071010,TRUE
435,Southern,Kazungula,Katombola,Mandia,Rural,09071071011,TRUE
436,Southern,Kazungula,Katombola,Mandia,Rural,09071071012,TRUE
437,Southern,Kazungula,Katombola,Musokotwane,Rural,09071101002,TRUE
438,Southern,Kazungula,Katombola,Musokotwane,Rural,09071101003,TRUE
439,Southern,Kazungula,Katombola,Musokotwane,Rural,09071101005,TRUE
440,Southern,Kazungula,Katombola,Musokotwane,Rural,09071101006,TRUE
441,Southern,Kazungula,Katombola,Musokotwane,Rural,09071101008,TRUE
442,Southern,Kazungula,Katombola,Musokotwane,Rural,09071101009,TRUE
443,Southern,Kazungula,Katombola,Musokotwane,Rural,09071101011,TRUE
444,Southern,Kazungula,Katombola,Musokotwane,Rural,09071101012,TRUE
445,Southern,Kazungula,Katombola,Musokotwane,Rural,09071101014,TRUE
446,Southern,Kazungula,Katombola,Musokotwane,Rural,09071101015,TRUE
447,Southern,Kazungula,Katombola,Nguba,Rural,09071111002,TRUE
448,Southern,Kazungula,Katombola,Nguba,Rural,09071111004,TRUE
449,Southern,Kazungula,Katombola,Nguba,Rural,09071111007,TRUE
450,Southern,Kazungula,Katombola,Nguba,Rural,09071111009,TRUE
451,Southern,Kazungula,Katombola,Nguba,Rural,09071111012,TRUE
452,Southern,Kazungula,Katombola,Nguba,Rural,09071111014,TRUE
453,Southern,Kazungula,Katombola,Nguba,Rural,09071111017,TRUE
454,Southern,Kazungula,Katombola,Nguba,Rural,09071111019,TRUE
455,Southern,Kazungula,Katombola,Nguba,Rural,09071111022,TRUE
456,Southern,Kazungula,Katombola,Nguba,Rural,09071111024,TRUE
457,Southern,Kazungula,Katombola,Nyawa,Rural,09071131003,TRUE
458,Southern,Kazungula,Katombola,Nyawa,Rural,09071131006,TRUE
459,Southern,Kazungula,Katombola,Nyawa,Rural,09071131009,TRUE
460,Southern,Kazungula,Katombola,Nyawa,Rural,09071131012,TRUE
461,Southern,Kazungula,Katombola,Nyawa,Rural,09071131015,TRUE
462,Southern,Kazungula,Katombola,Nyawa,Rural,09071131018,TRUE
463,Southern,Kazungula,Katombola,Nyawa,Rural,09071131021,TRUE
464,Southern,Kazungula,Katombola,Nyawa,Rural,09071131024,TRUE
465,Southern,Kazungula,Katombola,Nyawa,Rural,09071131027,TRUE
466,Southern,Kazungula,Katombola,Nyawa,Rural,09071131029,TRUE
467,Southern,Kazungula,Katombola,Simango,Rural,09071161001,TRUE
468,Southern,Kazungula,Katombola,Simango,Rural,09071161002,TRUE
469,Southern,Kazungula,Katombola,Simango,Rural,09071161004,TRUE
470,Southern,Kazungula,Katombola,Simango,Rural,09071161005,TRUE
471,Southern,Kazungula,Katombola,Simango,Rural,09071161006,TRUE
472,Southern,Kazungula,Katombola,Simango,Rural,09071161008,TRUE
473,Southern,Kazungula,Katombola,Simango,Rural,09071161009,TRUE
474,Southern,Kazungula,Katombola,Simango,Rural,09071161011,TRUE
475,Southern,Kazungula,Katombola,Simango,Rural,09071161012,TRUE
476,Southern,Kazungula,Katombola,Simango,Rural,09071161013,TRUE
477,Southern,Namwala,Namwala,Baambwe,Rural,09111011001,TRUE
478,Southern,Namwala,Namwala,Baambwe,Rural,09111011002,TRUE
479,Southern,Namwala,Namwala,Baambwe,Rural,09111011004,TRUE
480,Southern,Namwala,Namwala,Baambwe,Rural,09111011005,TRUE
481,Southern,Namwala,Namwala,Baambwe,Rural,09111011007,TRUE
482,Southern,Namwala,Namwala,Baambwe,Rural,09111011008,TRUE
483,Southern,Namwala,Namwala,Baambwe,Rural,09111011010,TRUE
484,Southern,Namwala,Namwala,Baambwe,Rural,09111011011,TRUE
485,Southern,Namwala,Namwala,Baambwe,Rural,09111011013,TRUE
486,Southern,Namwala,Namwala,Baambwe,Rural,09111011014,TRUE
487,Southern,Namwala,Namwala,Itapa,Rural,09111041002,TRUE
488,Southern,Namwala,Namwala,Itapa,Rural,09111041004,TRUE
489,Southern,Namwala,Namwala,Itapa,Rural,09111041006,TRUE
490,Southern,Namwala,Namwala,Itapa,Rural,09111041008,TRUE
491,Southern,Namwala,Namwala,Itapa,Rural,09111041010,TRUE
492,Southern,Namwala,Namwala,Itapa,Rural,09111041012,TRUE
493,Southern,Namwala,Namwala,Itapa,Rural,09111041014,TRUE
494,Southern,Namwala,Namwala,Itapa,Rural,09111041016,TRUE
495,Southern,Namwala,Namwala,Itapa,Rural,09111041018,TRUE
496,Southern,Namwala,Namwala,Itapa,Rural,09111041019,TRUE
497,Southern,Namwala,Namwala,Kantengwa,Rural,09111061001,TRUE
498,Southern,Namwala,Namwala,Kantengwa,Rural,09111061003,TRUE
499,Southern,Namwala,Namwala,Kantengwa,Rural,09111061004,TRUE
500,Southern,Namwala,Namwala,Kantengwa,Rural,09111061005,TRUE
501,Southern,Namwala,Namwala,Kantengwa,Rural,09111061007,TRUE
502,Southern,Namwala,Namwala,Kantengwa,Rural,09111061008,TRUE
503,Southern,Namwala,Namwala,Kantengwa,Rural,09111061010,TRUE
504,Southern,Namwala,Namwala,Kantengwa,Rural,09111061011,TRUE
505,Southern,Namwala,Namwala,Kantengwa,Rural,09111061012,TRUE
506,Southern,Namwala,Namwala,Kantengwa,Rural,09111061014,TRUE
507,Southern,Namwala,Namwala,Mandondo,Rural,09111081001,TRUE
508,Southern,Namwala,Namwala,Mandondo,Rural,09111081003,TRUE
509,Southern,Namwala,Namwala,Mandondo,Rural,09111081005,TRUE
510,Southern,Namwala,Namwala,Mandondo,Rural,09111081008,TRUE
511,Southern,Namwala,Namwala,Mandondo,Rural,09111081010,TRUE
512,Southern,Namwala,Namwala,Mandondo,Rural,09111081012,TRUE
513,Southern,Namwala,Namwala,Mandondo,Rural,09111081014,TRUE
514,Southern,Namwala,Namwala,Mandondo,Rural,09111081017,TRUE
515,Southern,Namwala,Namwala,Mandondo,Rural,09111081019,TRUE
516,Southern,Namwala,Namwala,Mandondo,Rural,09111081021,TRUE
517,Southern,Namwala,Namwala,Moobola,Rural,09111101001,TRUE
518,Southern,Namwala,Namwala,Moobola,Rural,09111101004,TRUE
519,Southern,Namwala,Namwala,Moobola,Rural,09111101007,TRUE
520,Southern,Namwala,Namwala,Moobola,Rural,09111101010,TRUE
521,Southern,Namwala,Namwala,Moobola,Rural,09111101012,TRUE
522,Southern,Namwala,Namwala,Moobola,Rural,09111101015,TRUE
523,Southern,Namwala,Namwala,Moobola,Rural,09111101018,TRUE
524,Southern,Namwala,Namwala,Moobola,Rural,09111101020,TRUE
525,Southern,Namwala,Namwala,Moobola,Rural,09111101023,TRUE
526,Southern,Namwala,Namwala,Moobola,Rural,09111101026,TRUE
527,Southern,Namwala,Namwala,Nakamboma,Rural,09111111002,TRUE
528,Southern,Namwala,Namwala,Nakamboma,Rural,09111111005,TRUE
529,Southern,Namwala,Namwala,Nakamboma,Rural,09111111007,TRUE
530,Southern,Namwala,Namwala,Nakamboma,Rural,09111111010,TRUE
531,Southern,Namwala,Namwala,Nakamboma,Rural,09111111012,TRUE
532,Southern,Namwala,Namwala,Nakamboma,Rural,09111111015,TRUE
533,Southern,Namwala,Namwala,Nakamboma,Rural,09111111018,TRUE
534,Southern,Namwala,Namwala,Nakamboma,Rural,09111111020,TRUE
535,Southern,Namwala,Namwala,Nakamboma,Rural,09111111023,TRUE
536,Southern,Namwala,Namwala,Nakamboma,Rural,09111111025,TRUE
537,Southern,Namwala,Namwala,Namusonde,Rural,09111131002,TRUE
538,Southern,Namwala,Namwala,Namusonde,Rural,09111131003,TRUE
539,Southern,Namwala,Namwala,Namusonde,Rural,09111131004,TRUE
540,Southern,Namwala,Namwala,Namusonde,Rural,09111131006,TRUE
541,Southern,Namwala,Namwala,Namusonde,Rural,09111131007,TRUE
542,Southern,Namwala,Namwala,Namusonde,Rural,09111131008,TRUE
543,Southern,Namwala,Namwala,Namusonde,Rural,09111131009,TRUE
544,Southern,Namwala,Namwala,Namusonde,Rural,09111131011,TRUE
545,Southern,Namwala,Namwala,Namusonde,Rural,09111131012,TRUE
546,Southern,Namwala,Namwala,Namusonde,Rural,09111131013,TRUE
547,Southern,Namwala,Namwala,Ndema,Rural,09111151001,TRUE
548,Southern,Namwala,Namwala,Ndema,Rural,09111151002,TRUE
549,Southern,Namwala,Namwala,Ndema,Rural,09111151004,TRUE
550,Southern,Namwala,Namwala,Ndema,Rural,09111151005,TRUE
551,Southern,Namwala,Namwala,Ndema,Rural,09111151007,TRUE
552,Southern,Namwala,Namwala,Ndema,Rural,09111151008,TRUE
553,Southern,Namwala,Namwala,Ndema,Rural,09111151010,TRUE
554,Southern,Namwala,Namwala,Ndema,Rural,09111151011,TRUE
555,Southern,Namwala,Namwala,Ndema,Rural,09111151013,TRUE
556,Southern,Namwala,Namwala,Ndema,Rural,09111151014,TRUE
